"id_estado_municipio","estado","descripcion_estado","municipio","descripcion_municipio"
48407013,7,"CHIAPAS",13,"BOCHIL"
48407014,7,"CHIAPAS",14,"EL BOSQUE"
48407015,7,"CHIAPAS",15,"CACAHOATAN"
48407016,7,"CHIAPAS",16,"CATAZAJA"
48407017,7,"CHIAPAS",17,"CINTALAPA DE FIGUEROA"
48407018,7,"CHIAPAS",18,"COAPILLA"
48407019,7,"CHIAPAS",19,"COMITAN DE DOMINGUEZ"
48407020,7,"CHIAPAS",20,"LA CONCORDIA"
48407021,7,"CHIAPAS",21,"COPAINALA"
48407022,7,"CHIAPAS",22,"CHALCHIHUITÁN"
48407023,7,"CHIAPAS",23,"CHAMULA"
48407024,7,"CHIAPAS",24,"CHANAL"
48407025,7,"CHIAPAS",25,"CHAPULTENANGO"
48407026,7,"CHIAPAS",26,"CHENALHÓ"
48407027,7,"CHIAPAS",27,"CHIAPA DE CORZO"
48407028,7,"CHIAPAS",28,"CHIAPILLA"
48407029,7,"CHIAPAS",29,"CHICOASEN"
48407030,7,"CHIAPAS",30,"CHICOMUSELO"
48407031,7,"CHIAPAS",31,"CHILÓN"
48407032,7,"CHIAPAS",32,"ESCUINTLA"
48407033,7,"CHIAPAS",33,"FRANCISCO LEON"
48407034,7,"CHIAPAS",34,"FRONTERA COMALAPA"
48407035,7,"CHIAPAS",35,"FRONTERA HIDALGO"
48407036,7,"CHIAPAS",36,"LA GRANDEZA"
48407037,7,"CHIAPAS",37,"HUEHUETAN"
48407038,7,"CHIAPAS",38,"HUIXTÁN"
48407039,7,"CHIAPAS",39,"HUITIUPAN"
48407040,7,"CHIAPAS",40,"HUIXTLA"
48407041,7,"CHIAPAS",41,"LA INDEPENDENCIA"
48407042,7,"CHIAPAS",42,"IXHUATAN"
48407043,7,"CHIAPAS",43,"IXTACOMITAN"
48407044,7,"CHIAPAS",44,"IXTAPA"
48407045,7,"CHIAPAS",45,"IXTAPANGAJOYA"
48407046,7,"CHIAPAS",46,"JIQUIPILAS"
48407047,7,"CHIAPAS",47,"JITOTOL"
48407048,7,"CHIAPAS",48,"JUAREZ"
48407049,7,"CHIAPAS",49,"LARRÁINZAR"
48407050,7,"CHIAPAS",50,"LA LIBERTAD"
48407051,7,"CHIAPAS",51,"MAPASTEPEC"
48407052,7,"CHIAPAS",52,"LAS MARGARITAS"
48407053,7,"CHIAPAS",53,"MAZAPA DE MADERO"
48407054,7,"CHIAPAS",54,"MAZATAN"
48407055,7,"CHIAPAS",55,"METAPA"
48407056,7,"CHIAPAS",56,"MITONTIC"
48407057,7,"CHIAPAS",57,"MOTOZINTLA"
48407058,7,"CHIAPAS",58,"NICOLAS RUIZ"
48407059,7,"CHIAPAS",59,"OCOSINGO"
48407060,7,"CHIAPAS",60,"OCOTEPEC"
48407061,7,"CHIAPAS",61,"OCOZOCOAUTLA DE ESPINOSA"
48407062,7,"CHIAPAS",62,"OSTUACAN"
48407063,7,"CHIAPAS",63,"OSUMACINTA"
48407064,7,"CHIAPAS",64,"OXCHUC"
48407065,7,"CHIAPAS",65,"PALENQUE"
48407066,7,"CHIAPAS",66,"PANTELHO"
48407067,7,"CHIAPAS",67,"PANTEPEC"
48407068,7,"CHIAPAS",68,"PICHUCALCO"
48407069,7,"CHIAPAS",69,"PIJIJIAPAN"
48407070,7,"CHIAPAS",70,"EL PORVENIR"
48407071,7,"CHIAPAS",71,"VILLA COMALTITLAN"
48407072,7,"CHIAPAS",72,"PUEBLO NUEVO SOLISTAHUACAN"
48407073,7,"CHIAPAS",73,"RAYON"
48407074,7,"CHIAPAS",74,"REFORMA"
48407075,7,"CHIAPAS",75,"LAS ROSAS"
48407076,7,"CHIAPAS",76,"SABANILLA"
48407077,7,"CHIAPAS",77,"SALTO DE AGUA"
48407078,7,"CHIAPAS",78,"SAN CRISTÓBAL DE LAS CASAS"
48407079,7,"CHIAPAS",79,"SAN FERNANDO"
48407080,7,"CHIAPAS",80,"SILTEPEC"
48407081,7,"CHIAPAS",81,"SIMOJOVEL"
48407082,7,"CHIAPAS",82,"SITALA"
48407083,7,"CHIAPAS",83,"SOCOLTENANGO"
48407084,7,"CHIAPAS",84,"SOLOSUCHIAPA"
48407085,7,"CHIAPAS",85,"SOYALO"
48407086,7,"CHIAPAS",86,"SUCHIAPA"
48407087,7,"CHIAPAS",87,"SUCHIATE"
48407088,7,"CHIAPAS",88,"SUNUAPA"
48407089,7,"CHIAPAS",89,"TAPACHULA"
